filename,status,fn_name,reason
abspos-after-spanner-static-pos,ported,css_multicol_abspos_after_spanner_static_pos,
abspos-after-spanner,ported,css_multicol_abspos_after_spanner,
abspos-autopos-contained-by-viewport-000,ported,css_multicol_abspos_autopos_contained_by_viewport_000,
abspos-autopos-contained-by-viewport-001,ported,css_multicol_abspos_autopos_contained_by_viewport_001,
abspos-containing-block-outside-spanner-ref,ported,css_multicol_abspos_containing_block_outside_spanner_ref,
abspos-containing-block-outside-spanner,ported,css_multicol_abspos_containing_block_outside_spanner,
abspos-multicol-in-second-outer-clipped,ported,css_multicol_abspos_multicol_in_second_outer_clipped,
always-balancing-before-column-span,ported,css_multicol_always_balancing_before_column_span,
as-column-flex-item,ported,css_multicol_as_column_flex_item,
auto-fill-auto-size-001-print,ported,css_multicol_auto_fill_auto_size_001_print,
auto-fill-auto-size-002-print-ref,ported,css_multicol_auto_fill_auto_size_002_print_ref,
auto-fill-auto-size-002-print,ported,css_multicol_auto_fill_auto_size_002_print,
balance-break-avoidance-000,ported,css_multicol_balance_break_avoidance_000,
balance-break-avoidance-001,ported,css_multicol_balance_break_avoidance_001,
balance-break-avoidance-002,ported,css_multicol_balance_break_avoidance_002,
balance-orphans-widows-000,ported,css_multicol_balance_orphans_widows_000,
baseline-000-ref,ported,css_multicol_baseline_000_ref,
baseline-000,ported,css_multicol_baseline_000,
baseline-001-ref,ported,css_multicol_baseline_001_ref,
baseline-001,ported,css_multicol_baseline_001,
baseline-002-ref,ported,css_multicol_baseline_002_ref,
baseline-002,ported,css_multicol_baseline_002,
baseline-003-ref,ported,css_multicol_baseline_003_ref,
baseline-003,ported,css_multicol_baseline_003,
baseline-004-ref,ported,css_multicol_baseline_004_ref,
baseline-004,ported,css_multicol_baseline_004,
baseline-005-ref,ported,css_multicol_baseline_005_ref,
baseline-005,ported,css_multicol_baseline_005,
baseline-006-ref,ported,css_multicol_baseline_006_ref,
baseline-006,ported,css_multicol_baseline_006,
baseline-007-ref,ported,css_multicol_baseline_007_ref,
baseline-007,ported,css_multicol_baseline_007,
baseline-008-ref,ported,css_multicol_baseline_008_ref,
baseline-008,ported,css_multicol_baseline_008,
broken-column-rule-1-ref,ported,css_multicol_broken_column_rule_1_ref,
broken-column-rule-1,ported,css_multicol_broken_column_rule_1,
column-balancing-paged-001-print-ref,ported,css_multicol_column_balancing_paged_001_print_ref,
column-balancing-paged-001-print,ported,css_multicol_column_balancing_paged_001_print,
column-balancing-with-overflow-auto-crash,ported,css_multicol_column_balancing_with_overflow_auto_crash,
column-balancing-with-span-and-oof-001,ported,css_multicol_column_balancing_with_span_and_oof_001,
column-balancing-with-span-and-oof-002,ported,css_multicol_column_balancing_with_span_and_oof_002,
column-count-used-001,ported,css_multicol_column_count_used_001,
column-height-001,ported,css_multicol_column_height_001,
column-height-002,ported,css_multicol_column_height_002,
column-height-003,ported,css_multicol_column_height_003,
column-height-004,ported,css_multicol_column_height_004,
column-height-005,ported,css_multicol_column_height_005,
column-height-006,ported,css_multicol_column_height_006,
column-height-007,ported,css_multicol_column_height_007,
column-height-008,ported,css_multicol_column_height_008,
column-height-009-ref,ported,css_multicol_column_height_009_ref,
column-height-009,ported,css_multicol_column_height_009,
column-height-010,ported,css_multicol_column_height_010,
column-height-011,ported,css_multicol_column_height_011,
column-height-012,ported,css_multicol_column_height_012,
column-height-013,ported,css_multicol_column_height_013,
column-height-014,ported,css_multicol_column_height_014,
column-height-015,ported,css_multicol_column_height_015,
column-height-016,ported,css_multicol_column_height_016,
column-height-017,ported,css_multicol_column_height_017,
column-height-018,ported,css_multicol_column_height_018,
column-height-019,ported,css_multicol_column_height_019,
column-height-020,ported,css_multicol_column_height_020,
column-height-021,ported,css_multicol_column_height_021,
column-height-022,ported,css_multicol_column_height_022,
column-height-024,ported,css_multicol_column_height_024,
column-height-025,ported,css_multicol_column_height_025,
column-height-026,ported,css_multicol_column_height_026,
column-height-027,ported,css_multicol_column_height_027,
column-height-028,ported,css_multicol_column_height_028,
column-height-029,ported,css_multicol_column_height_029,
column-height-030,ported,css_multicol_column_height_030,
column-pseudo-background-color-ref,ported,css_multicol_column_pseudo_background_color_ref,
column-rule-001-ref,ported,css_multicol_column_rule_001_ref,
column-rule-002-ref,ported,css_multicol_column_rule_002_ref,
column-rule-002,ported,css_multicol_column_rule_002,
column-wrap-no-constraints-001,ported,css_multicol_column_wrap_no_constraints_001,
column-wrap-no-constraints-002,ported,css_multicol_column_wrap_no_constraints_002,
columnfill-auto-max-height-001,ported,css_multicol_columnfill_auto_max_height_001,
columnfill-auto-max-height-002,ported,css_multicol_columnfill_auto_max_height_002,
columnfill-auto-max-height-003,ported,css_multicol_columnfill_auto_max_height_003,
composited-under-clip-under-multicol-ref,ported,css_multicol_composited_under_clip_under_multicol_ref,
composited-under-clip-under-multicol,ported,css_multicol_composited_under_clip_under_multicol,
equal-gap-and-rule,ported,css_multicol_equal_gap_and_rule,
fixed-in-nested-multicol-with-viewport-container,ported,css_multicol_fixed_in_nested_multicol_with_viewport_container,
fixed-size-child-with-overflow,ported,css_multicol_fixed_size_child_with_overflow,
fixedpos-static-pos-with-viewport-cb-001,ported,css_multicol_fixedpos_static_pos_with_viewport_cb_001,
fixedpos-static-pos-with-viewport-cb-002,ported,css_multicol_fixedpos_static_pos_with_viewport_cb_002,
fixedpos-static-pos-with-viewport-cb-003,ported,css_multicol_fixedpos_static_pos_with_viewport_cb_003,
float-and-block,ported,css_multicol_float_and_block,
float-with-line-after-spanner-ref,ported,css_multicol_float_with_line_after_spanner_ref,
float-with-line-after-spanner,ported,css_multicol_float_with_line_after_spanner,
increase-prev-sibling-height-ref,ported,css_multicol_increase_prev_sibling_height_ref,
inline-block-and-column-span-all,ported,css_multicol_inline_block_and_column_span_all,
intrinsic-size-001,ported,css_multicol_intrinsic_size_001,
intrinsic-size-002,ported,css_multicol_intrinsic_size_002,
intrinsic-size-003,ported,css_multicol_intrinsic_size_003,
intrinsic-size-004,ported,css_multicol_intrinsic_size_004,
intrinsic-size-005,ported,css_multicol_intrinsic_size_005,
move-with-text-after-paint-ref,ported,css_multicol_move_with_text_after_paint_ref,
moz-multicol3-column-balancing-break-inside-avoid-1-ref,ported,css_multicol_moz_multicol3_column_balancing_break_inside_avoid_1_ref,
moz-multicol3-column-balancing-break-inside-avoid-1,ported,css_multicol_moz_multicol3_column_balancing_break_inside_avoid_1,
multicol-basic-001,ported,css_multicol_multicol_basic_001,
multicol-basic-002,ported,css_multicol_multicol_basic_002,
multicol-basic-003,ported,css_multicol_multicol_basic_003,
